attraction_code,name,slug,province,province_code,region,category,desc_short,desc_long,tags,latitude,longitude,thumbnail_path,image_path,svg_path,priority,is_active
GHZ-005,Palace of Sultan Mas'ud III,palace-of-sultan-masud-iii,Ghazni,GHZ,Central,Ancient Civilizations,Ruined grandeur of the Ghaznavid court.,"These sprawling ruins once formed a grand royal residence noted for its innovative use of brickwork and decorative terracotta. Today, the palace site provides archaeologists and travelers with a sense of the immense scale of medieval court life in the region.","#Ghaznavid, #Palace, #Archaeology",33.549,68.429,/assets/images/attractions/thumbnails/tghz005.jpg,/assets/images/attractions/ghz005.webp,/assets/images/maps/provinces/ghazni.svg,5,1
GHO-001,Minaret of Jam,minaret-e-jam-unesco,Ghor,GHO,West,Landmarks,A 12th-century masterpiece in the wilderness.,"Rising 65 meters above a remote river valley, this UNESCO World Heritage site is a miracle of medieval brickwork. Its intricate Kufic calligraphy and geometric patterns are perfectly preserved, standing as a lonely, towering testament to the height of the Ghurid Empire.","#UNESCO, #Remote, #Photography",34.397,64.516,/assets/images/attractions/thumbnails/tgho001.jpg,/assets/images/attractions/gho001.webp,/assets/images/maps/provinces/ghor.svg,10,1
GHO-002,Rural Ghor Highlands,rural-ghor-highlands-villages,Ghor,GHO,West,Rural,Wild mountains and isolated stone villages.,"Ghor is one of Afghanistan's most rugged and least-traveled provinces. The landscape is defined by vast mountain plateaus and remote stone-built villages where life follows ancient seasonal rhythms, offering a true frontier experience for adventurous travelers.","#Frontier, #Adventure, #Highlands",34.5,65.0,/assets/images/attractions/thumbnails/tgho002.jpg,/assets/images/attractions/gho002.webp,/assets/images/maps/provinces/ghor.svg,4,1
HLM-001,Helmand River Landscape,helmand-river-landscape,Helmand,HLM,South,Nature & Adventure,A lush desert lifeline and river oasis.,"The Helmand River creates a striking green ribbon through the arid southern plains. Along its banks, fertile fields of wheat and fruit orchards provide a vibrant contrast to the surrounding desert, showing how water has sustained life here for millennia.","#River, #Oasis, #Agriculture",31.35,64.1,/assets/images/attractions/thumbnails/thlm001.jpg,/assets/images/attractions/hlm001.webp,/assets/images/maps/provinces/helmand.svg,5,1
HLM-002,Qala-e-Bost Arch,qala-e-bost,Helmand,HLM,South,Landmarks,Iconic Ghaznavid arch and desert citadel.,"One of the most famous architectural symbols of the south, this massive 11th-century arch once served as the grand entrance to a royal Ghaznavid city. Nearby, the ruins of a sprawling fortress offer a glimpse into the region's medieval importance.","#Architecture, #History, #Ghaznavid",31.502,64.368,/assets/images/attractions/thumbnails/thlm002.jpg,/assets/images/attractions/hlm002.webp,/assets/images/maps/provinces/helmand.svg,7,1
HER-001,Herat Old City & Bazaars,herat-old-city-bazaars,Herat,HER,West,Bazaars & Artisans,A vibrant maze of silk and copper.,"Herat's Old City is a living museum. Within its narrow alleys, you'll find ancient silk-weaving workshops, copper-smiths hammering by hand, and spice markets that have remained active for centuries, maintaining the authentic rhythm of a Silk Road trading hub.","#Artisans, #SilkRoad, #Photography",34.342,62.195,/assets/images/attractions/thumbnails/ther001.jpg,/assets/images/attractions/her001.webp,/assets/images/maps/provinces/herat.svg,8,1
HER-002,Herat Citadel,herat-citadel-qala-ye-ikhtiyaruddin,Herat,HER,West,Landmarks,Timeless fortress of Alexander the Great.,"Dating back to 330 BC, this massive citadel has been destroyed and rebuilt by countless conquerors, including Genghis Khan and Timur. Its imposing walls and towers dominate the Herat skyline, offering museum galleries and spectacular sunset views over the old city bazaars.","#Fortress, #History, #SunsetViews",34.349,62.188,/assets/images/attractions/thumbnails/ther002.jpg,/assets/images/attractions/her002.webp,/assets/images/maps/provinces/herat.svg,10,1
HER-003,Herat Friday Mosque,herat-friday-mosque-masjid-e-jami,Herat,HER,West,Spiritual & Religious,A dazzling jewel of Timurid tilework.,"One of the world's most beautiful mosques, this site is renowned for its vast courtyard and stunning blue tile mosaics. The mosque remains a living workspace, with an on-site tile workshop where artisans still use 15th-century techniques to maintain the structure.","#Timurid, #Artisans, #Spiritual",34.342,62.203,/assets/images/attractions/thumbnails/ther003.jpg,/assets/images/attractions/her003.webp,/assets/images/maps/provinces/herat.svg,9,1
HER-004,Herat Minarets,herat-minarets-musalla-complex,Herat,HER,West,Landmarks,Striking silhouettes of a lost empire.,"The remaining minarets of the Musalla complex are a haunting reminder of the city's past as a center of the Timurid Renaissance. These towering brick structures, once part of a massive madrasa and mosque complex, offer one of Afghanistan's most iconic sunset views.","#Timurid, #Photography, #History",34.359,62.182,/assets/images/attractions/thumbnails/ther004.jpg,/assets/images/attractions/her004.webp,/assets/images/maps/provinces/herat.svg,8,1
JOW-001,Tala Tepe,tala-tepe,Jowzjan,JOW,North,Ancient Civilizations,Site of the famous 'Bactrian Gold'.,"Known as the 'Hill of Gold,' this archaeological site near Sheberghan was the discovery point of over 20,000 pieces of ancient gold jewelry. It highlights northern Afghanistan's role as a rich crossroads where Greek, Scythian, and Chinese cultures met 2,000 years ago.","#BactrianGold, #History, #Crossroads",36.699,65.789,/assets/images/attractions/thumbnails/tjow001.jpg,/assets/images/attractions/jow001.webp,/assets/images/maps/provinces/jowzjan.svg,6,1
KBL-001,Darulaman Palace,darulaman-palace,Kabul,KBL,Central,Landmarks,Iconic symbol of national resilience.,"Built in the 1920s as part of King Amanullah Khan's modernization drive, this neoclassical palace has been meticulously restored after decades of war. It stands as a grand symbol of Kabul's architectural ambition and national renewal.","#Architecture, #NationalPride, #ModernHistory",34.465,69.119,/assets/images/attractions/thumbnails/tkbl001.jpg,/assets/images/attractions/kbl001.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-002,Kabul National Museum,kabul-national-museum,Kabul,KBL,Central,Landmarks,Treasury of Afghanistan's ancient past.,"Once one of the world's greatest museums, this institution has survived extraordinary odds to preserve the country's heritage. Its collections include Buddhist sculptures, ivory carvings, and Islamic art that provide essential context for the Silk Road's history.","#Museum, #Education, #History",34.468,69.121,/assets/images/attractions/thumbnails/tkbl002.jpg,/assets/images/attractions/kbl002.webp,/assets/images/maps/provinces/kabul.svg,8,1
KBL-003,Babur's Gardens,baburs-gardens-bagh-e-babur,Kabul,KBL,Central,Landmarks,Terraced Mughal paradise in Kabul.,"The final resting place of the first Mughal Emperor, Babur, these beautifully restored terraced gardens are an oasis of calm. Featuring marble pavilions, water channels, and ancient walnut trees, the site offers a glimpse into the refined lifestyle and garden-culture of the 16th-century Mughal court.","#Mughal, #Gardens, #Photography",34.503,69.158,/assets/images/attractions/thumbnails/tkbl003.jpg,/assets/images/attractions/kbl003.webp,/assets/images/maps/provinces/kabul.svg,6,1
KBL-004,Shah-e-Du Shamshira Mosque,shah-e-du-shamshira,Kabul,KBL,Central,Spiritual & Religious,The unique 'Mosque of Two Swords'.,"Located on the banks of the Kabul River, this 1920s mosque is architecturally unique for its Italian-influenced Baroque style. It stands on a historic site where legend says an early Muslim commander fought with two swords, making it a beloved city landmark.","#Architecture, #KabulRiver, #History",34.516,69.181,/assets/images/attractions/thumbnails/tkbl004.jpg,/assets/images/attractions/kbl004.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-005,Sakhi Shrine,sakhi-shrine-karte-sakhi,Kabul,KBL,Central,Spiritual & Religious,A vivid blue beacon of Kabul's faith.,"Nestled at the foot of Mount Asmai, this major shrine is famous for its vibrant blue and green tiles. It is a central place of worship for the city's Shi'a community and a peaceful space that offers a profound look at living religious traditions in the capital.","#Architecture, #Spiritual, #Photography",34.517,69.145,/assets/images/attractions/thumbnails/tkbl005.jpg,/assets/images/attractions/kbl005.webp,/assets/images/maps/provinces/kabul.svg,7,1
KBL-006,Wazir Akbar Khan Hill,wazir-akbar-khan-hill,Kabul,KBL,Central,Urban,The best panoramic viewpoint in Kabul.,"This elevated hill offers the most famous view of the capital, marked by a massive Afghan flag. It is the perfect place to understand Kabul's sprawl and its dramatic mountain-ringed geography, especially at sunset when the city lights begin to twinkle.","#Panoramas, #SunsetViews, #Cityscape",34.538,69.185,/assets/images/attractions/thumbnails/tkbl006.jpg,/assets/images/attractions/kbl006.webp,/assets/images/maps/provinces/kabul.svg,10,1
KBL-007,Chicken Street,chicken-street,Kabul,KBL,Central,Bazaars & Artisans,Kabul's legendary antiques market.,"A historic corridor for travelers, Chicken Street is the go-to place for lapis lazuli jewelry, hand-woven carpets, and traditional Afghan crafts. Even for non-shoppers, it offers a fascinating look at the country's diverse artisanal heritage.","#Antiques, #Shopping, #Crafts",34.529,69.169,/assets/images/attractions/thumbnails/tkbl007.jpg,/assets/images/attractions/kbl007.webp,/assets/images/maps/provinces/kabul.svg,6,1
KBL-008,Qargha Lake,qargha-lake,Kabul,KBL,Central,Nature & Adventure,Kabul's favorite weekend lakeside escape.,"Just a short drive from the city center, this reservoir is the primary recreation spot for Kabulis. With boat rides, lakeside restaurants, and fresh mountain air, it provides a relaxed, social atmosphere and a different side of life in the capital.","#Boating, #Recreation, #Lakeside",34.545,69.055,/assets/images/attractions/thumbnails/tkbl008.jpg,/assets/images/attractions/kbl008.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-009,TV Tower Hill (Mount Asmai),tv-tower-hill-asmai,Kabul,KBL,Central,Urban,A high-altitude gaze over the city.,"Known colloquially as TV Mountain, this peak bisects Kabul. A drive to its summit provides a stunning bird's-eye view of the city's neighborhoods and the ancient fortifications that wind along the surrounding mountain ridges.","#Panoramas, #Viewpoint, #Kabul",34.522,69.155,/assets/images/attractions/thumbnails/tkbl009.jpg,/assets/images/attractions/kbl009.webp,/assets/images/maps/provinces/kabul.svg,6,1
KBL-010,Bala Hissar,bala-hissar-kabul,Kabul,KBL,Central,Landmarks,Kabul's ancient hilltop 'High Fortress'.,"Occupied for over 1,500 years, this fortress has been the seat of power for Kabul's rulers. Its thick stone walls and strategic location at the city's narrows offer a visible link to the centuries of conflict and trade that have defined the capital.","#Fortress, #MilitaryHistory, #History",34.505,69.191,/assets/images/attractions/thumbnails/tkbl010.jpg,/assets/images/attractions/kbl010.webp,/assets/images/maps/provinces/kabul.svg,4,1
KBL-011,Kabul Zoo,kabul-zoo,Kabul,KBL,Central,Urban,A resilient center of family life.,"While modest by international standards, the Kabul Zoo is a beloved public space. It houses species native to the region, such as the mountain snow leopard, and offers a glimpse into the everyday leisure lives of Kabul's residents.","#Wildlife, #FamilyFriendly, #Education",34.511,69.155,/assets/images/attractions/thumbnails/tkbl011.jpg,/assets/images/attractions/kbl011.webp,/assets/images/maps/provinces/kabul.svg,3,1
KBL-012,Taq-e-Zafar Paghman,taq-e-zafar-paghman,Kabul,KBL,Central,Landmarks,European-style arch in a mountain retreat.,"Paghman is a high-altitude summer retreat for Kabulis, famous for its gardens and the 'Arch of Victory'. Modeled after the Arc de Triomphe, the monument commemorates Afghan independence and sits within a valley known for its fresh air and walnut groves.","#Independence, #Architecture, #Gardens",34.588,68.951,/assets/images/attractions/thumbnails/tkbl012.jpg,/assets/images/attractions/kbl012.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-013,Murad Khane,murad-khane-old-city,Kabul,KBL,Central,Bazaars & Artisans,Beautifully restored timber-framed old city.,"A hidden gem in Kabul's center, this neighborhood features exquisitely restored 18th-century cedar-wood buildings. It is a living example of traditional urban architecture and home to an institute that teaches ancient Afghan woodcarving and ceramic arts.","#Woodcarving, #Architecture, #Restoration",34.519,69.183,/assets/images/attractions/thumbnails/tkbl013.jpg,/assets/images/attractions/kbl013.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-014,Tape Nader Khan,tape-nader-khan,Kabul,KBL,Central,Landmarks,Royal mausoleums on a quiet hill.,"This hilltop site contains the tombs of Afghanistan's 20th-century royal family, including King Nadir Shah. It offers a somber, regal atmosphere and provides excellent views of Kabul's eastern sprawl and the Olympic Stadium.","#RoyalHistory, #Viewpoint, #History",34.521,69.208,/assets/images/attractions/thumbnails/tkbl014.jpg,/assets/images/attractions/kbl014.webp,/assets/images/maps/provinces/kabul.svg,6,1
KBL-015,Kahfroshi Bird Market,kahfroshi-bird-market,Kabul,KBL,Central,Bazaars & Artisans,A sensory journey through the bird bazaar.,"This narrow, sun-dappled alleyway in old Kabul is one of the city's most atmospheric spots. Here, hundreds of songbirds in wicker cages line the walls, a tradition that reflects the Afghan love for bird-keeping and the timeless charm of the bazaar.","#Photography, #Culture, #Bazaars",34.518,69.184,/assets/images/attractions/thumbnails/tkbl015.jpg,/assets/images/attractions/kbl015.webp,/assets/images/maps/provinces/kabul.svg,5,1
KBL-016,Ghazi Olympic Stadium,ghazi-olympic-stadium,Kabul,KBL,Central,Urban,The heart of Afghan sports and football.,"Named after King Amanullah Khan (the 'Ghazi'), this stadium is the primary venue for football and national events. It serves as a major reference point for public life in the capital and a symbol of the country's passion for sport.","#Sports, #Football, #PublicLife",34.518,69.191,/assets/images/attractions/thumbnails/tkbl016.jpg,/assets/images/attractions/kbl016.webp,/assets/images/maps/provinces/kabul.svg,4,1
KBL-017,OMAR Landmine Museum,omar-landmine-museum,Kabul,KBL,Central,Landmarks,Educational insight into humanitarian work.,"This unique museum provides a vital look at the technical side of demining. Through its collection of hardware and instructional displays, it honors the deminers who have made Afghanistan safer and offers a perspective on the challenges of post-conflict recovery.","#Education, #Humanitarian, #History",34.525,69.205,/assets/images/attractions/thumbnails/tkbl017.jpg,/assets/images/attractions/kbl017.webp,/assets/images/maps/provinces/kabul.svg,8,1
KBL-018,Khurd-Kabul Pass,khurd-kabul-pass-1842,Kabul,KBL,Central,Ancient Civilizations,Dramatic mountain pass of military legend.,This narrow gorge southeast of Kabul was the site of significant 19th-century battles. Its towering cliffs and winding stream offer a rugged natural beauty and a physical link to the 'Great Game' history that shaped the region.,"#GreatGame, #Hiking, #History",34.385,69.382,/assets/images/attractions/thumbnails/tkbl018.jpg,/assets/images/attractions/kbl018.webp,/assets/images/maps/provinces/kabul.svg,6,1
KDR-001,Tomb of Ahmad Shah Durrani,tomb-of-ahmad-shah-durrani,Kandahar,KDR,South,Spiritual & Religious,Shrine of the 'Father of Afghanistan'.,"This blue-domed mausoleum is the final resting place of Ahmad Shah Durrani, the founder of the modern Afghan state. Its interior is adorned with exquisite tilework and serves as a major landmark of national pride in the heart of Kandahar city.","#NationalPride, #Architecture, #Founder",31.621,65.711,/assets/images/attractions/thumbnails/tkdr001.jpg,/assets/images/attractions/kdr001.webp,/assets/images/maps/provinces/kandahar.svg,9,1
