tour_code,tour_slug,day_number,title,location,description,flight_id,drive_time_notes,attraction_codes
CAD,central-afghanistan-discovery,3,Drive Kabul–Bamyan,Bamyan,Drive from Kabul to Bamyan via Parwan or Wardak depending on road conditions. Sightseeing depending on travel times on the way into Bamyan.,,Drive times vary; conditions may affect timing.,BMY-003;BMY-002;BMY-001
CAD,central-afghanistan-discovery,4,Band-e-Amir National Park,Bamyan,Depart early morning for a day trip to see Band-e-Amir National Park.,,Drive times vary; conditions may affect timing.,BMY-004
CAD,central-afghanistan-discovery,5,Return to Kabul,Kabul,Drive from Bamyan to Kabul via Parwan or Wardak depending on road conditions. Sightseeing depending on travel times on the way into Kabul.,,Drive times vary; conditions may affect timing.,WRD-001;KBL-014;KBL-012
CAD,central-afghanistan-discovery,6,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-009;KBL-001;KBL-002;KBL-005;KBL-007;KBL-006
CAD,central-afghanistan-discovery,7,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
CTME,custom-expedition,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation depending on arrival time.",,Short city transfers.,
CTME,custom-expedition,2,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,3,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,4,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,5,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Short city transfers.,
CTME,custom-expedition,6,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,7,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,8,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,9,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,10,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,11,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,12,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,13,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Short city transfers.,
CTME,custom-expedition,14,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
CTME,custom-expedition,15,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,KDR-004;KDR-005
KBLS,kabul-surroundings,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-015;KBL-007
KBLS,kabul-surroundings,2,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-001;KBL-002;KBL-003
KBLS,kabul-surroundings,3,Drive Kabul - Panjshir,Kabul,Drive from Kabul to Panjshir via Parwan. Sightseeing on the way in and out of the valley with optional hike in the valley.,,Drive times vary; conditions may affect timing.,PJR-001;PJR-002;PRW-002
KBLS,kabul-surroundings,4,Drive East for Lunch,Kabul,Drive from Kabul towards Jalalabad to grab some fish for lunch.,,Drive times vary; conditions may affect timing.,NGH-002;NGH-001;KBL-016;KBL-017;KBL-014
KBLS,kabul-surroundings,5,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-005;KBL-008;KBL-012;KBL-009;KBL-006
KBLS,kabul-surroundings,6,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
KTDE,kandahar-durrani-empire-tour,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-001;KBL-002;KBL-003
KTDE,kandahar-durrani-empire-tour,2,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-017;KBL-003
KTDE,kandahar-durrani-empire-tour,3,Fly Kabul - Kandahar,Kandahar,Flight from Kabul to Kandahar with the remainder of the day of sightseeing in Kandahar.,FL-KBL-KDR,Short city transfers.,KDR-006;KDR-003
KTDE,kandahar-durrani-empire-tour,4,Sightseeing Kanadahar,Kandahar,A day of sightseeing in Kandahar.,,Short city transfers.,KDR-001;KDR-002;KDR-004;KDR-005
KTDE,kandahar-durrani-empire-tour,5,Fly Kandahar - Kabul,Kabul,Flight from Kandahar back to Kabul with the remainder of the day of sightseeing in Kabul.,FL-KDR-KBL,Short city transfers.,KBL-014;KBL-015;KBL-016;KBL-017;KBL-007
KTDE,kandahar-durrani-empire-tour,6,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
PHOT,photography-tour,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,
PHOT,photography-tour,2,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,3,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,4,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,5,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Short city transfers.,
PHOT,photography-tour,6,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,7,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,8,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,9,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,10,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,11,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
PHOT,photography-tour,12,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Drive times vary; conditions may affect timing.,
PVEH,panjshir-valley-emeralds-history,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-007
PVEH,panjshir-valley-emeralds-history,2,Drive Kabul–Panjshir,Kabul,Drive from Kabul to Panjshir via Parwan. Sightseeing on the way in and out of the valley with trip to mine or emerald auctions depending on the dates.,,Drive times vary; conditions may affect timing.,PRW-002;PJR-001;PJR-002
PVEH,panjshir-valley-emeralds-history,3,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-006;KBL-005;KBL-001;KBL-002;KBL-003
PVEH,panjshir-valley-emeralds-history,4,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
SCIE,scientific-expeditions,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,
SCIE,scientific-expeditions,2,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,3,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,4,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,5,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Short city transfers.,
SCIE,scientific-expeditions,6,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,7,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,8,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,9,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,10,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,11,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
SCIE,scientific-expeditions,12,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TGHT,timurid-grandeur-herat-tour,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-006;KBL-005
TGHT,timurid-grandeur-herat-tour,2,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-001;KBL-002;KBL-003
TGHT,timurid-grandeur-herat-tour,3,Fly Kabul - Herat and Sightseeing in Herat,Herat,Flight from Kabul to Herat with the remainder of the day of sightseeing in Kabul.,FL-KBL-HER,Short city transfers.,HER-003;HER-002;HER-004
TGHT,timurid-grandeur-herat-tour,4,Sightseeing Herat,Herat,A day of sightseeing in Herat.,,Short city transfers.,KBL-004;KBL-005;KBL-006
TGHT,timurid-grandeur-herat-tour,5,Fly Back to Kabul and Sightseeing in Kabul,Kabul,Flight from Herat back to Kabul with the remainder of the day of sightseeing in Kabul.,FL-HER-KBL,Short city transfers.,KBL-001;KBL-002;KBL-003
TGHT,timurid-grandeur-herat-tour,6,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-006;KBL-005
TGHT,timurid-grandeur-herat-tour,7,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,2,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,FL-KBL-HER,Short city transfers.,KBL-001;KBL-002;KBL-003
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,3,Fly Kabul - Herat and Sightseeing in Herat,Herat,Flight from Kabul to Herat with the remainder of the day of sightseeing in Kabul.,,Short city transfers.,HER-003;HER-002;HER-004
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,4,Early Drive to Ghor,Herat,Depart early morning for the towards the Minaret-e-Jam in Ghor Province. Depending on the conditions overnight in Ghor or return to Herat.,,Short city transfers.,GHO-001
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,5,Sightseeing Herat,Herat,A day of sightseeing in Herat.,,Short city transfers.,HER-003;HER-001
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,6,Fly Back to Kabul and Sightseeing in Kabul,Kabul,Flight from Herat back to Kabul with the remainder of the day of sightseeing in Kabul.,FL-HER-KBL,Short city transfers.,KBL-015;KBL-002
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,7,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-008;KBL-009
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,8,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-004;KBL-015
TGHT-EXT,timurid-grandeur-herat-tour-add-minaret-e-jam,9,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,KBL-009
TSRA,treasures-of-silk-road-afghanistan,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,
TSRA,treasures-of-silk-road-afghanistan,2,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-001;KBL-002;KBL-003
TSRA,treasures-of-silk-road-afghanistan,3,Fly Kabul to Mazar,Mazar-e-Sharif,Flight from Kabul to Balkh with the remainder of the day of sightseeing in Balkh.,FL-KBL-MAZ,Drive times vary; conditions may affect timing.,BMY-001;BMY-004
TSRA,treasures-of-silk-road-afghanistan,4,Sightseeing Balkh,Mazar-e-Sharif,A day of sightseeing in Balkh.,,Drive times vary; conditions may affect timing.,PRW-001;PRW-002
TSRA,treasures-of-silk-road-afghanistan,5,Fly Mazar-e-Sharif - Kabul and Sightseeing in Kabul,Kabul,Flight from Mazar-e-Sharif back to Kabul with the remainder of the day of sightseeing in Kabul.,FL-MAZ-KBL,Drive times vary; conditions may affect timing.,WRD-001
TSRA,treasures-of-silk-road-afghanistan,6,Fly Kabul - Herat,Herat,Flight from Kabul to Herat with the remainder of the day of sightseeing in Herat.,FL-KBL-HER,Short city transfers.,HER-002;HER-004
TSRA,treasures-of-silk-road-afghanistan,7,Sightseeing Herat,Herat,A day of sightseeing in Herat.,,Short city transfers.,KBL-017;KBL-003
TSRA,treasures-of-silk-road-afghanistan,8,Fly Back to Kabul,Kabul,Flight from Herat back to Kabul with the remainder of the day of sightseeing in Kabul.,FL-HER-KBL,Short city transfers.,BAL-003;BAL-006
TSRA,treasures-of-silk-road-afghanistan,9,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Drive times vary; conditions may affect timing.,BMY-002;BMY-003
TSRA,treasures-of-silk-road-afghanistan,10,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-006;KBL-005
TTWC,trek-the-wakhan-corridor,2,TBD,Balkh,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,BAL-001;BAL-002
TTWC,trek-the-wakhan-corridor,3,TBD,Kunduz,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,KDZ-001
TTWC,trek-the-wakhan-corridor,4,TBD,Takhar,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,TKH-001
TTWC,trek-the-wakhan-corridor,5,TBD,Badakhshan,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,BDK-001;BDK-002
TTWC,trek-the-wakhan-corridor,6,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,KBL-017;KBL-003
TTWC,trek-the-wakhan-corridor,7,TBD,Balkh,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,BAL-003;BAL-006
TTWC,trek-the-wakhan-corridor,8,TBD,Kunduz,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,9,TBD,Takhar,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,10,TBD,Badakhshan,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,BDK-003
TTWC,trek-the-wakhan-corridor,11,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,KBL-015;KBL-002
TTWC,trek-the-wakhan-corridor,12,TBD,Balkh,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,BAL-004;BAL-005
TTWC,trek-the-wakhan-corridor,13,TBD,Kunduz,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,14,TBD,Takhar,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,15,TBD,Badakhshan,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,16,TBD,Kabul,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,KBL-008;KBL-009
TTWC,trek-the-wakhan-corridor,17,TBD,Balkh,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,18,TBD,Kunduz,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,19,TBD,Takhar,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Drive times vary; conditions may affect timing.,
TTWC,trek-the-wakhan-corridor,20,TBD,Badakhshan,Planned touring day with flexible pacing and local context. Exact routing may adjust based on conditions.,,Short city transfers.,
TTWC,trek-the-wakhan-corridor,21,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,KBL-012;KBL-014
WKND,weekend-in-kabul,1,Kabul — Arrival & first walks,Kabul,"Arrive Kabul. Airport reception, hotel check-in, and a paced first walk or viewpoint depending on arrival time — enough to feel the city without forcing a full programme.",,Short city transfers.,KBL-003;KBL-007
WKND,weekend-in-kabul,2,Kabul — Capital layers,Kabul,"A fuller day in Kabul: gardens, museums or old-city fabric, and a market or lunch stop as conditions and guest pace allow. Positioned as a serious short introduction — not a souvenir sprint.",,Short city transfers.,KBL-001;KBL-002;KBL-003;KBL-005
WKND,weekend-in-kabul,3,Departure,Kabul,"Final morning buffer if timing allows, then hotel check-out and airport transfer for onward flights.",,Short city transfers.,
WNTC,winter-circuit,1,Kabul — Winter arrival,Kabul,"Arrive into winter Kabul. Soft landing: hotel, orientation, and a short city outing if light and weather allow.",,Short city transfers.,KBL-003
WNTC,winter-circuit,2,Kabul — City in the cold season,Kabul,"Kabul by winter light — museums, gardens, or neighbourhood walks paced for shorter days and hospitality indoors when needed.",,Short city transfers.,KBL-001;KBL-002;KBL-005
WNTC,winter-circuit,3,Toward the highlands,Bamyan,Road day into Bamyan country via Parwan or Wardak depending on snow and road reports. Stops only where safe and workable.,,Drive times vary; winter conditions may reshape the day.,BMY-001
WNTC,winter-circuit,4,Bamyan — Valley in winter,Bamyan,"Buddha niches and valley context in the cold season — quieter roads, sharp air, and site access confirmed locally that morning.",,Short local transfers.,BMY-001;BMY-002
WNTC,winter-circuit,5,Band-e-Amir — if winter access allows,Bamyan,"Day toward the blue lakes when the road is open. If closed by snow or advisories, the day reshapes around Bamyan valley alternatives — planned, not promised.",,Winter road access checked the day before.,BMY-004
WNTC,winter-circuit,6,Across the mountains,Samangan,Continue north toward Samangan / Aybak as conditions allow — mountain winter driving with flexible overnight.,,Route by conditions; overnight Aybak or confirmed stop.,SAM-001
WNTC,winter-circuit,7,Northern shrines & winter towns,Mazar-e-Sharif,Into the Mazar basin: shrine city atmosphere and northern winter hospitality. Exterior arrangements at major sites confirmed locally.,,Drive times vary with weather.,BAL-001
WNTC,winter-circuit,8,Balkh & return planning,Mazar-e-Sharif,"Balkh’s ancient outline and northern urban fabric, then prepare for return — flight if available, otherwise road contingency.",,Domestic flight checked; road is the fallback.,BAL-002;BAL-001
WNTC,winter-circuit,9,Return to Kabul & departure window,Kabul,Return to Kabul by air or road and close the circuit. Departure same day or evening buffer by flight timing.,,Flight if available; road contingency noted.,
SUMC,summer-circuit,1,Kabul — Summer start,Kabul,Arrive Kabul in the long-light season. Orientation and a measured city introduction.,,Short city transfers.,KBL-003
SUMC,summer-circuit,2,Kabul — City & summer evenings,Kabul,"Kabul highlights with later light — gardens, viewpoints, and hospitality timed for heat.",,Short city transfers.,KBL-001;KBL-002;KBL-003
SUMC,summer-circuit,3,Into Bamyan high country,Bamyan,Drive into Bamyan’s highland roads — summer is the window for comfortable mountain travel.,,Drive times vary; summer highland routing.,BMY-001
SUMC,summer-circuit,4,Bamyan — Ancient valley,Bamyan,"Buddha niches, valley folds, and Bamyan’s living town in clear summer weather.",,Short local transfers.,BMY-001;BMY-002;BMY-003
SUMC,summer-circuit,5,Band-e-Amir — Blue lakes,Bamyan,Full day at Band-e-Amir’s lakes. Female-visitor and access notes checked with the team before the visit; local rules can change.,,Day trip; access confirmed locally.,BMY-004
SUMC,summer-circuit,6,North across the mountains,Samangan,Continue toward Samangan country — summer highland roads toward the north.,,Route by conditions.,SAM-001
SUMC,summer-circuit,7,Mazar — Northern light,Mazar-e-Sharif,Mazar-e-Sharif and shrine precincts in summer light; exterior visit arrangements confirmed locally.,,Short city transfers.,BAL-001
