dish_code,name,slug,region_code,province_code,destination_code,category,meal_type,is_produce,season_start,season_end,desc_short,image_path,tags,is_active
AF-KDR-CHA,Milk Tea,kandahar-milk-tea,SOUTH,KDR,KDRC,Beverage,Tea-Time,0,1,12,Black tea served with milk and sugar — common in Kandahar and the south.,/assets/images/food/drinks/sheer-chai/thumb.webp,Kandahar,1
AF-BMY-POT,Potatoes,bamyan-potatoes,CENTRAL,BMY,BMYC,Produce,Side,1,9,11,Buttery potatoes grown in Bamyan valley.,/assets/images/food/produce/potatoes/hero.webp,Bamyan,1
AF-WAR-APP,Apples,wardak-red-apples,CENTRAL,WRD,KBLC,Produce,Snack,1,9,11,Export-quality apples from Wardak orchards.,/assets/images/food/produce/apples/hero.webp,"Wardak, Kabul",1
AF-KDR-POM,Pomegranate,kandahar-pomegranate,SOUTH,KDR,KDRC,Produce,Snack,1,9,11,"Ruby-red pomegranates famous across Afghanistan, especially Kandahar.",/assets/images/food/produce/pomegranate/hero.webp,Kandahar,1
AF-HER-SAF,Saffron,herat-saffron,WEST,HER,HERC,Produce,Spice,1,10,11,Premium saffron grown near Herat.,/assets/images/food/dried-fruit/saffron/hero.webp,Herat,1
AF-BAL-MEL,Melon,balkh-melon,NORTH,BAL,MAZC,Produce,Snack,1,8,10,Sweet melon grown in Balkh province.,/assets/images/food/produce/honeydew-mellon/hero.webp,"Balkh, Mazar-e Sharif",1
AF-KDZ-MEL,Melon,kunduz-melon,NORTH,KDZ,MAZC,Produce,Snack,1,7,9,"Northern summer melon with floral aroma, associated with Kunduz.",/assets/images/food/produce/honeydew-mellon/hero.webp,"Kunduz, Mazar-e Sharif",1
AF-PJR-WAL,Walnuts,panjshir-walnuts,CENTRAL,PJR,KBLC,Produce,Snack,1,9,10,Fresh walnuts harvested in Panjshir valley.,/assets/images/food/dried-fruit/walnuts/hero.webp,"Panjshir, Kabul",1
AF-FRH-WAT,Watermelon,farah-watermelon,WEST,FRH,HERC,Produce,Snack,1,5,8,Large red watermelon grown in Farah.,/assets/images/food/produce/watermellons/hero.webp,"Farah, Herat",1
AF-GHO-GRA,Raisins,ghor-grapes,WEST,GHO,HERC,Produce,Snack,1,8,10,"Sun-dried raisins from mountain vineyards in Ghor (image shows raisins, not fresh grapes).",/assets/images/food/dried-fruit/raisins/hero.webp,"Ghor, Herat, Dried fruit",1
AF-JOW-GOR,Gorgak Melon,jowzjan-gorgak,NORTH,JOW,MAZC,Produce,Snack,1,7,9,Small sweet Gorgak melon grown by Turkmen farmers in Jowzjan.,/assets/images/food/produce/sugar-mellon/hero.webp,"Jowzjan, Mazar-e Sharif, Gorgak, Turkmen",1
AF-KBL-KAB,Kebab,kabul-kebab,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,"Street-grilled kebab served with naan, common in Kabul.",/assets/images/food/dishes/kabul-kabob/hero.webp,Kabul,1
AF-KBL-QAB,Qabili Chicken,chicken-qabili,CENTRAL,KBL,KBLC,Main,Dinner,0,1,12,Chicken variation of Kabuli pulao.,/assets/images/food/dishes/chicken-kabuli/hero.webp,Kabul,1
AF-HER-PIL,Pilaf,herati-pilaf,WEST,HER,HERC,Main,Dinner,0,1,12,"Rice dish seasoned with saffron, in the Herat style.",/assets/images/food/dishes/kabuli-palaw/hero.webp,Herat,1
AF-KDR-KAB,Kebab,kandahar-kebab,SOUTH,KDR,KDRC,Main,Dinner,0,1,12,"Lamb kebab cooked over charcoal, associated with Kandahar.",/assets/images/food/dishes/kabob/hero.webp,Kandahar,1
AF-KBL-ASH,Ash Soup,ash-soup,CENTRAL,KBL,KBLC,Main,Lunch,0,1,12,Thick noodle soup with herbs.,/assets/images/food/dishes/aush/hero.webp,Kabul,1
AF-KBL-SHO,Shorwa Soup,shorwa-soup,CENTRAL,KBL,KBLC,Main,Lunch,0,1,12,Traditional Afghan meat broth soup.,/assets/images/food/dishes/aush/hero.webp,Kabul,1
AF-BAL-YOG,Doogh,doogh-yogurt-drink,NORTH,BAL,MAZC,Beverage,Snack,0,1,12,Salted yogurt drink (doogh) served cold — common in the north including Balkh.,/assets/images/food/drinks/dogh/hero.webp,"Balkh, Mazar-e Sharif",1
AF-KBL-LAS,Lassi Drink,lassi-drink,CENTRAL,KBL,KBLC,Beverage,Snack,0,1,12,Yogurt drink popular in summer.,/assets/images/food/drinks/dogh/hero.webp,Kabul,1
AF-HER-ICE,Saffron Ice Cream,herat-ice-cream,WEST,HER,HERC,Dessert,Snack,0,5,9,"Saffron-flavored Afghan ice cream, associated with Herat.",/assets/images/food/sweets/saffron-ice-cream/hero.webp,Herat,1
AF-KBL-DRY,Dried Fruits Mix,afghan-dried-fruits,CENTRAL,KBL,KBLC,Snack,Snack,1,1,12,Traditional mix of raisins almonds pistachios.,/assets/images/food/dried-fruit/hero.webp,Kabul,1
AF-KBL-PIS,Pistachios,samangan-pistachios,NORTH,SAM,MAZC,Produce,Snack,1,8,10,Famous wild pistachios from Samangan.,/assets/images/food/dried-fruit/pistachios/hero.webp,"Samangan, Mazar-e Sharif",1
AF-HER-RAI,Raisins,herat-raisins,WEST,HER,HERC,Produce,Snack,1,8,10,Sun-dried raisins from Herat vineyards.,/assets/images/food/dried-fruit/raisins/hero.webp,"Herat, Dried fruit",1
AF-BAL-ALM,Almonds,balkh-almonds,NORTH,BAL,MAZC,Produce,Snack,1,8,10,Crunchy almonds grown in Balkh province.,/assets/images/food/dried-fruit/almonds/hero.webp,"Balkh, Mazar-e Sharif",1
AF-KBL-SHE,Sheermal Bread,sheermal-bread,CENTRAL,KBL,KBLC,Bread,Side,0,1,12,Slightly sweet saffron flavored bread.,/assets/images/food/dishes/naan/hero.webp,Kabul,1
AF-KBL-KUL,Kulcha Cookie,kulcha-cookie,CENTRAL,KBL,KBLC,Dessert,Tea-Time,0,1,12,Traditional Afghan tea cookie.,/assets/images/food/sweets/halwa/hero.webp,Kabul,1
AF-KBL-JAL,Jalebi Sweet,jalebi-sweet,CENTRAL,KBL,KBLC,Dessert,Tea-Time,0,1,12,Deep fried syrup soaked spiral sweet.,/assets/images/food/sweets/jelabi/hero.webp,Kabul,1
AF-HER-BAK,Baklava,herat-baklava,WEST,HER,HERC,Dessert,Tea-Time,0,1,12,"Layered pastry with nuts and honey, associated with Herat.",/assets/images/food/sweets/halwa/hero.webp,Herat,1
AF-KDR-SWE,Sweets,kandahar-sweets,SOUTH,KDR,KDRC,Dessert,Tea-Time,0,1,12,Regional sweet pastries served with tea in Kandahar.,/assets/images/food/sweets/sheer-pira/hero.webp,Kandahar,1
