attraction_code,name,province_code,base_location_code,access_classification,requires_expedition,typical_access,overnight_type,planning_minutes,road_condition,confidence,notes,is_active
GHZ-004,Tapa Sardar,GHZ,GHZC,standard,0,urban,hub,45,paved,high,,1
GHZ-005,Palace of Sultan Mas'ud III,GHZ,GHZC,standard,0,urban,hub,45,paved,high,,1
HER-001,Herat Old City & Bazaars,HER,HERC,adventure,0,regional,hub,90,mixed,medium,Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
HER-002,Herat Citadel,HER,HERC,standard,0,urban,hub,45,paved,high,,1
HER-003,Herat Friday Mosque,HER,HERC,standard,0,urban,hub,45,paved,high,,1
HER-004,Herat Minarets,HER,HERC,standard,0,urban,hub,45,paved,high,,1
HLM-001,Helmand River Landscape,HLM,KDRC,adventure,0,remote_daytrip,hub,240,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
HLM-002,Qala-e-Bost Arch,HLM,KDRC,adventure,0,remote_daytrip,hub,240,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
JOW-001,Tala Tepe,JOW,MAZC,adventure,0,regional,hub,210,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
KBL-001,Darulaman Palace,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-002,Kabul National Museum,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-003,Babur's Gardens,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-004,Shah-e-Du Shamshira Mosque,KBL,KBLC,standard,0,urban,hub,30,paved,high,,1
KBL-005,Sakhi Shrine,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-006,Wazir Akbar Khan Hill,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-007,Chicken Street,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-008,Qargha Lake,KBL,KBLC,standard,0,urban,hub,90,paved,high,,1
KBL-009,TV Tower Hill (Mount Asmai),KBL,KBLC,standard,0,urban,hub,30,paved,high,,1
KBL-010,Bala Hissar,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-011,Kabul Zoo,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-012,Taq-e-Zafar Paghman,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-013,Murad Khane,KBL,KBLC,standard,0,urban,hub,30,paved,high,,1
KBL-014,Tape Nader Khan,KBL,KBLC,standard,0,urban,hub,30,paved,high,,1
KBL-015,Kahfroshi Bird Market,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-016,Ghazi Olympic Stadium,KBL,KBLC,standard,0,urban,hub,30,paved,high,,1
KBL-017,OMAR Landmine Museum,KBL,KBLC,standard,0,urban,hub,45,paved,high,,1
KBL-018,Khurd-Kabul Pass,KBL,KBLC,adventure,0,regional,hub,90,mixed,medium,Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
KDR-001,Tomb of Ahmad Shah Durrani,KDR,KDRC,standard,0,urban,hub,30,paved,high,,1
KDR-002,Shrine of Mirwais Hotak,KDR,KDRC,standard,0,urban,hub,30,paved,high,,1
KDR-003,Baba Wali Shrine,KDR,KDRC,standard,0,urban,hub,45,paved,high,,1
KDR-004,Mosque of the Sacred Cloak,KDR,KDRC,standard,0,urban,hub,30,paved,high,,1
KDR-005,Chilzina and the Forty Steps,KDR,KDRC,standard,0,urban,hub,45,paved,high,,1
KDR-006,Ayno Mina,KDR,KDRC,standard,0,urban,hub,45,paved,high,,1
KDZ-001,Kunduz City & Farmlands,KDZ,MAZC,adventure,0,regional,hub,270,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
KHT-001,Khost City Scenery,KHT,JBDC,adventure,0,regional,hub,270,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
KNR-001,Kunar River Valley,KNR,JBDC,adventure,0,regional,hub,270,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
KPS-001,Nijrab Valley,KPS,KBLC,adventure,0,regional,hub,210,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
LGM-001,Alingar Valley,LGM,JBDC,adventure,0,regional,hub,270,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
LGR-001,Logar Valleys,LGR,KBLC,adventure,0,regional,hub,210,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
NGH-001,Jalalabad City,NGH,JBDC,standard,0,urban,hub,45,paved,high,,1
NGH-002,Darunta Lake,NGH,JBDC,standard,0,urban,hub,45,paved,high,,1
NGH-003,Hadda Archaeological Site,NGH,JBDC,standard,0,urban,hub,45,paved,high,,1
NGH-004,Gandamak Last Stand Site,NGH,JBDC,adventure,0,regional,hub,120,mixed,medium,Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
PJR-001,Ahmad Shah Massoud Mausoleum,PJR,KBLC,adventure,0,regional,hub,180,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
PRW-001,Salang Pass,PRW,KBLC,adventure,0,regional,hub,180,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
PRW-002,Jabal Saraj Palace,PRW,KBLC,adventure,0,regional,hub,180,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
PTA-001,Gardez & Zurmat Highlands,PTA,KBLC,adventure,0,regional,hub,270,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
PTK-001,Paktika Highlands,PTK,KBLC,adventure,0,regional,hub,270,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
SAM-001,Takht-e Rostam,SAM,MAZC,adventure,0,regional,hub,210,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
SAM-002,Buddhist Cave Monasteries,SAM,MAZC,adventure,0,regional,hub,210,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
TKH-001,Ai-Khanoum,TKH,FAIC,adventure,0,remote_daytrip,hub,360,rough,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
WRD-001,Wardak Highlands,WRD,KBLC,adventure,0,regional,hub,210,mixed,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
ZBL-001,Shahjoy & Qalat Valleys,ZBL,KDRC,adventure,0,remote_daytrip,hub,360,rough,medium,Access routed from nearest active operational base in current locations dataset. Remote or regional access from hub with increased travel burden but standard overnighting assumed.,1
