attraction_code,name,province_code,base_location_code,visit_time_minutes,trip_classification,activity_level,notes,is_active
HER-004,Herat Minarets,HER,HERC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
JOW-001,Tala Tepe,JOW,MAZC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-001,Darulaman Palace,KBL,KBLC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-002,Kabul National Museum,KBL,KBLC,75,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-003,Babur's Gardens,KBL,KBLC,75,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-004,Shah-e-Du Shamshira Mosque,KBL,KBLC,15,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-005,Sakhi Shrine,KBL,KBLC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-006,Wazir Akbar Khan Hill,KBL,KBLC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-007,Chicken Street,KBL,KBLC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-008,Qargha Lake,KBL,KBLC,120,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-009,TV Tower Hill (Mount Asmai),KBL,KBLC,15,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-010,Bala Hissar,KBL,KBLC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-011,Kabul Zoo,KBL,KBLC,75,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-012,Taq-e-Zafar Paghman,KBL,KBLC,75,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-013,Murad Khane,KBL,KBLC,15,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-014,Tape Nader Khan,KBL,KBLC,45,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-015,Kahfroshi Bird Market,KBL,KBLC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-016,Ghazi Olympic Stadium,KBL,KBLC,45,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-017,OMAR Landmine Museum,KBL,KBLC,90,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KBL-018,Khurd-Kabul Pass,KBL,KBLC,240,Tour,3,Generated from the current attraction dataset and normalized operational assumptions.,1
KDR-001,Tomb of Ahmad Shah Durrani,KDR,KDRC,45,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KDR-002,Shrine of Mirwais Hotak,KDR,KDRC,45,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KDR-003,Baba Wali Shrine,KDR,KDRC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KDR-004,Mosque of the Sacred Cloak,KDR,KDRC,30,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
KDR-005,Chilzina and the Forty Steps,KDR,KDRC,75,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KDR-006,Ayno Mina,KDR,KDRC,75,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
KPS-001,Nijrab Valley,KPS,KBLC,120,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
KHT-001,Khost City Scenery,KHT,JBDC,60,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
KNR-001,Kunar River Valley,KNR,JBDC,120,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
KDZ-001,Kunduz City & Farmlands,KDZ,MAZC,120,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
LGM-001,Alingar Valley,LGM,JBDC,120,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
LGR-001,Logar Valleys,LGR,KBLC,120,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
NGH-001,Jalalabad City,NGH,JBDC,90,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
NGH-002,Darunta Lake,NGH,JBDC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
NGH-003,Hadda Archaeological Site,NGH,JBDC,60,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
NGH-004,Gandamak Last Stand Site,NGH,JBDC,60,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
NIM-001,Nimroz Citadel,NIM,HERC,60,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
NIM-002,Qala Muhammad,NIM,HERC,60,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
NIM-003,Kamal Khan Dam,NIM,HERC,60,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
NRS-001,Parun Valley,NRS,JBDC,120,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
NRS-002,Bashgal Valley,NRS,JBDC,120,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
NRS-003,Barg-e Matal & Lakes,NRS,JBDC,120,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
PTA-001,Gardez & Zurmat Highlands,PTA,KBLC,60,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
PTK-001,Paktika Highlands,PTK,KBLC,60,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
PJR-001,Ahmad Shah Massoud Mausoleum,PJR,KBLC,30,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
PJR-002,Paryan Valley,PJR,KBLC,120,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
PRW-001,Salang Pass,PRW,KBLC,30,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
PRW-002,Jabal Saraj Palace,PRW,KBLC,45,Tour,1,Generated from the current attraction dataset and normalized operational assumptions.,1
SAM-001,Takht-e Rostam,SAM,MAZC,90,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
SAM-002,Buddhist Cave Monasteries,SAM,MAZC,90,Tour,2,Generated from the current attraction dataset and normalized operational assumptions.,1
SEP-001,Sar-e-Pol Meadows,SEP,MAZC,60,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
TKH-001,Ai-Khanoum,TKH,FAIC,120,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
URZ-001,Tarin Kot Surroundings,URZ,KDRC,120,Expedition,4,Generated from the current attraction dataset and normalized operational assumptions.,1
WRD-001,Wardak Highlands,WRD,KBLC,60,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
ZBL-001,Shahjoy & Qalat Valleys,ZBL,KDRC,150,Adventure,3,Generated from the current attraction dataset and normalized operational assumptions.,1
